Date,Load
8/25/2011,22.9416
8/26/2011,22.2102
8/27/2011,22.0026
8/28/2011,22.2384
8/29/2011,21.8034
8/30/2011,22.1562
8/31/2011,23.91
9/1/2011,23.268
9/2/2011,22.3218
9/3/2011,22.8498
9/4/2011,20.73
9/5/2011,19.0812
9/6/2011,18.6
9/7/2011,18.2082
9/8/2011,19.9404
9/9/2011,18.411
9/10/2011,18.7026
9/11/2011,19.1898
9/12/2011,20.4834
9/13/2011,20.5236
9/14/2011,20.8002
9/15/2011,18.3186
9/16/2011,17.7222
9/17/2011,17.2968
9/18/2011,17.9214
9/19/2011,16.674
9/20/2011,17.2674
9/21/2011,17.4384
9/22/2011,17.7288
9/23/2011,16.1484
9/24/2011,16.8948
9/25/2011,15.9846
9/26/2011,18.057
9/27/2011,16.83
9/28/2011,15.4842
9/29/2011,17.2008
9/30/2011,16.5876
10/1/2011,17.6412
10/2/2011,16.7688
10/3/2011,17.4792
10/4/2011,17.205
10/5/2011,17.5404
10/6/2011,17.5974
10/7/2011,17.226
10/8/2011,19.1724
10/9/2011,15.0864
10/10/2011,15.6636
10/11/2011,17.8686
10/12/2011,22.284
10/13/2011,17.838
10/14/2011,16.6686
10/15/2011,15.642
10/16/2011,16.3488
10/17/2011,19.71
10/18/2011,17.199
10/19/2011,15.0918
10/20/2011,16.215
10/21/2011,15.5682
10/22/2011,15.5376
10/23/2011,14.8866
10/24/2011,16.4928
10/25/2011,16.8258
10/26/2011,17.19
10/27/2011,14.9166
10/28/2011,16.9506
10/29/2011,16.1754
10/30/2011,16.179
10/31/2011,15.4608
11/1/2011,16.2294
11/2/2011,16.272
11/3/2011,15.3648
11/4/2011,15.9606
11/5/2011,16.4778
11/6/2011,14.985
11/7/2011,15.7512
11/8/2011,16.494
11/9/2011,16.0806
11/10/2011,15.6036
11/11/2011,15.759
11/12/2011,14.685
11/13/2011,16.5378
11/14/2011,16.551
11/15/2011,15.459
11/16/2011,14.7816
11/17/2011,15.132
11/18/2011,16.3542
11/19/2011,14.9004
11/20/2011,15.36
11/21/2011,15.4416
11/22/2011,14.3544
11/23/2011,15.6612
11/24/2011,11.9688
11/25/2011,13.602
11/26/2011,13.5084
11/27/2011,14.523
11/28/2011,15.2214
11/29/2011,15.9708
11/30/2011,15.3042
12/1/2011,12.7566
12/2/2011,14.754
12/3/2011,15.8424
12/4/2011,15.5028
12/5/2011,15.0942
12/6/2011,15.138
12/7/2011,15.579
12/8/2011,14.1774
12/9/2011,15.4014
12/10/2011,14.826
12/11/2011,15.297
12/12/2011,15.3546
12/13/2011,15.0384
12/14/2011,15.4614
12/15/2011,15.186
12/16/2011,14.6706
12/17/2011,13.5498
12/18/2011,13.023
12/19/2011,14.493
12/20/2011,13.4826
12/21/2011,13.5786
12/22/2011,12.9816
12/23/2011,13.5522
12/24/2011,12.7152
12/25/2011,12.672
12/26/2011,13.0542
12/27/2011,12.786
12/28/2011,12.825
12/29/2011,13.6818
12/30/2011,12.7584
12/31/2011,13.7286
1/1/2012,13.9524
1/2/2012,12.8862
1/3/2012,14.301
1/4/2012,13.5168
1/5/2012,13.7262
1/6/2012,15.7878
1/7/2012,13.4862
1/8/2012,14.7732
1/9/2012,15.5502
1/10/2012,14.487
1/11/2012,14.6436
1/12/2012,14.9586
1/13/2012,15.7266
1/14/2012,14.895
1/15/2012,15.9198
1/16/2012,15.4884
1/17/2012,14.9262
1/18/2012,14.8326
1/19/2012,15.8352
1/20/2012,15.6498
1/21/2012,14.8746
1/22/2012,16.1178
1/23/2012,15.0846
1/24/2012,15.5514
1/25/2012,16.5414
1/26/2012,13.2438
1/27/2012,16.1988
1/28/2012,14.4048
1/29/2012,15.9246
1/30/2012,15.6744
1/31/2012,14.8818
2/1/2012,15.3924
2/2/2012,14.7762
2/3/2012,14.0238
2/4/2012,14.9328
2/5/2012,15.5436
2/6/2012,14.6742
2/7/2012,14.9484
2/8/2012,15.7248
2/9/2012,15.2184
2/10/2012,15.267
2/11/2012,13.7646
2/12/2012,15.4974
2/13/2012,15.7542
2/14/2012,14.5416
2/15/2012,16.7256
2/16/2012,14.9958
2/17/2012,15.5226
2/18/2012,15.3828
2/19/2012,15.3984
2/20/2012,15.6204
2/21/2012,15.0828
2/22/2012,15.2244
2/23/2012,15.8754
2/24/2012,16.8186
2/25/2012,17.1648
2/26/2012,16.6572
2/27/2012,17.6082
2/28/2012,17.9922
2/29/2012,18.663
3/1/2012,18.7074
3/2/2012,16.59
3/3/2012,14.721
3/4/2012,15.6582
3/5/2012,16.4676
3/6/2012,14.7516
3/7/2012,17.019
3/8/2012,15.8838
3/9/2012,15.5064
3/10/2012,14.5152
3/11/2012,11.8836
3/12/2012,12.7476
3/13/2012,13.6758
3/14/2012,15.6042
3/15/2012,16.9092
3/16/2012,15.801
3/17/2012,14.5674
3/18/2012,15.4524
3/19/2012,16.569
3/20/2012,15.681
3/21/2012,16.4232
3/22/2012,17.7726
3/23/2012,14.8212
3/24/2012,16.3602
3/25/2012,15.9528
3/26/2012,16.2066
3/27/2012,14.949
3/28/2012,16.4058
3/29/2012,15.6942
3/30/2012,16.0086
3/31/2012,15.8292
4/1/2012,15.8718
4/2/2012,16.3596
4/3/2012,17.598
4/4/2012,17.751
4/5/2012,16.8708
4/6/2012,15.0084
4/7/2012,15.5058
4/8/2012,14.9022
4/9/2012,15.6318
4/10/2012,16.3158
4/11/2012,16.5012
4/12/2012,16.14
4/13/2012,16.7802
4/14/2012,15.6636
4/15/2012,15.5502
4/16/2012,17.5482
4/17/2012,16.4466
4/18/2012,18.0252
4/19/2012,14.1648
4/20/2012,16.869
4/21/2012,15.7074
4/22/2012,16.2708
4/23/2012,15.9768
4/24/2012,16.827
4/25/2012,16.6428
4/26/2012,15.2364
4/27/2012,17.8914
4/28/2012,15.7572
4/29/2012,15.8976
4/30/2012,15.7188
5/1/2012,16.677
5/2/2012,17.4078
5/3/2012,17.9328
5/4/2012,18.681
5/5/2012,16.3854
5/6/2012,16.2318
5/7/2012,13.362
5/8/2012,18.042
5/9/2012,15.5076
5/10/2012,13.158
5/11/2012,14.6976
5/12/2012,13.8588
5/13/2012,13.6548
5/14/2012,14.3988
5/15/2012,15.0156
5/16/2012,15.1428
5/17/2012,15.8772
5/18/2012,16.8708
5/19/2012,18.6876
5/20/2012,20.0184
5/21/2012,19.9548
5/22/2012,16.335
5/23/2012,18.5052
5/24/2012,18.6468
5/25/2012,22.305
5/26/2012,20.9868
5/27/2012,20.8074
5/28/2012,19.4334
5/29/2012,20.6754
5/30/2012,18.72
5/31/2012,18.4572
6/1/2012,18.7242
6/2/2012,18.936
6/3/2012,17.427
6/4/2012,16.542
6/5/2012,17.661
6/6/2012,18.954
6/7/2012,19.0068
6/8/2012,21.117
6/9/2012,18.213
6/10/2012,20.553
6/11/2012,20.3448
6/12/2012,20.6814
6/13/2012,21.4794
6/14/2012,22.656
6/15/2012,23.1114
6/16/2012,22.0824
6/17/2012,23.058
6/18/2012,22.1136
6/19/2012,25.3182
6/20/2012,25.1016
6/21/2012,24.4536
6/22/2012,24.1248
6/23/2012,23.502
6/24/2012,23.4168
6/25/2012,23.931
6/26/2012,24.5052
6/27/2012,23.8536
6/28/2012,25.2888
6/29/2012,26.4258
6/30/2012,27.1944
7/1/2012,25.0308
7/2/2012,25.5282
7/3/2012,24.1566
7/4/2012,23.9142
7/5/2012,27.141
7/6/2012,27.8004
7/7/2012,26.9418
7/8/2012,23.1144
7/9/2012,14.079
7/10/2012,21.4488
7/11/2012,21.9954
7/12/2012,23.6628
7/13/2012,21.7356
7/14/2012,20.2494
7/15/2012,19.0722
7/16/2012,23.7174
7/17/2012,22.131
7/18/2012,22.7094
7/19/2012,20.9124
7/20/2012,18.3834
7/21/2012,19.1892
7/22/2012,23.0958
7/23/2012,22.3206
7/24/2012,23.5734
7/25/2012,23.8254
7/26/2012,23.6574
7/27/2012,21.4746
7/28/2012,18.3474
7/29/2012,17.115
7/30/2012,23.5836
7/31/2012,21.7056
8/1/2012,22.785
8/2/2012,22.4952
8/3/2012,22.4106
8/4/2012,21.777
8/5/2012,20.9292
8/6/2012,22.7034
8/7/2012,22.2984
8/8/2012,24.0972
8/9/2012,22.4922
8/10/2012,19.3758
8/11/2012,18.0126
8/12/2012,20.5476
8/13/2012,19.9956
8/14/2012,17.4132
8/15/2012,19.401
8/16/2012,16.9746
8/17/2012,19.6044
8/18/2012,17.751
8/19/2012,18.1536
8/20/2012,18.495
8/21/2012,17.9556
8/22/2012,17.802
8/23/2012,19.2186
8/24/2012,18.3972
8/25/2012,19.2486
8/26/2012,19.9668
8/27/2012,16.6374
8/28/2012,18.8934
8/29/2012,17.4114
8/30/2012,20.439
8/31/2012,19.14
9/1/2012,18.0288
9/2/2012,17.5788
9/3/2012,17.2002
9/4/2012,17.6304
9/5/2012,19.818
9/6/2012,16.5522
9/7/2012,19.404
9/8/2012,16.947
9/9/2012,17.2332
9/10/2012,16.9932
9/11/2012,17.4708
9/12/2012,16.7268
9/13/2012,19.2558
9/14/2012,17.0718
9/15/2012,17.2554
9/16/2012,17.2416
9/17/2012,17.7168
9/18/2012,18.0924
9/19/2012,17.2884
9/20/2012,18.2526
9/21/2012,16.4976
9/22/2012,16.2594
9/23/2012,16.896
9/24/2012,17.793
9/25/2012,17.898
9/26/2012,15.306
9/27/2012,17.4492
9/28/2012,16.7028
9/29/2012,16.2672
9/30/2012,16.6884
10/1/2012,17.2164
10/2/2012,16.8732
10/3/2012,15.975
10/4/2012,17.2236
10/5/2012,17.6376
10/6/2012,15.5724
10/7/2012,16.101
10/8/2012,17.0286
10/9/2012,16.8138
10/10/2012,15.891
10/11/2012,16.6416
10/12/2012,14.9064
10/13/2012,15.8526
10/14/2012,16.9308
10/15/2012,16.2072
10/16/2012,17.3328
10/17/2012,17.2746
10/18/2012,16.3308
10/19/2012,16.7136
10/20/2012,15.6342
10/21/2012,17.1492
10/22/2012,17.0772
10/23/2012,19.5936
10/24/2012,19.2132
10/25/2012,20.6712
10/26/2012,19.8702
10/27/2012,18.4392
10/28/2012,18.2286
10/29/2012,18.5466
10/30/2012,18.9468
10/31/2012,18.9216
11/1/2012,18.4608
11/2/2012,16.7838
11/3/2012,16.7106
11/4/2012,16.7526
11/5/2012,17.0184
11/6/2012,17.2782
11/7/2012,15.9726
11/8/2012,16.5924
11/9/2012,16.209
